Question,Answer
When did the kingdom of Videha emerge as a political center?,In the 8th or 7th century BCE.
What type of kingdoms emerged in India by the 6th century BCE?,Large kingdoms called Mahajanapadas.
"Where was Anga, a small kingdom, located?","East of Magadha, on the doorstep of modern-day West Bengal."
What marked the end of the Vedic period?,"Linguistic, cultural, and political changes."
Where did the sramana culture arise?,Greater Magadha
Who rejected Vedic authority and rituals in this culture?,Kshatriyas were placed higher than Brahmins
What was the social hierarchy like in Vedic society?,A distinct hierarchy of socio-economic classes or castes was absent.
Who stood at the top of the political hierarchy in the Vedic period?,The rājan (tribal king or chieftain) and rājanya (tribal nobility).
"What is mentioned as the protector of people, king, sage, or one who has drunk soma in the Rigveda?",Any of these - Indra would make me one of these.
Who had a respectable position and could choose their husbands or remarry if their husband died or disappeared?,The wife.
What were some popular drinks in Vedic society?,Soma and sura.
How many social groups was Vedic society divided into?,"Four (Brahmanas, Kshatriyas, Vaishyas, and Shudras)."
How many social groups were there in the society?,Four
What was Rajasuya sacrifice said to endow Shudras with?,Stability
Who placed Brahmana and Vaishya over Kshatriya and Shudra?,Verse 1.1.4.12 of the Shatapatha Brahmana.
"According to Rigveda IX.112, what is the speaker's mother doing?",Grinding (corn) with stones.
What was the common practice of men-women relationships like during the Vedic era?,Hierarchically organised with women relegated to subordinate and docile roles.
What were some professions that women took up during the Vedic era?,"Tending cattle, milking cows, carding wool, weaving, dyeing, and grinding corn."
Who was the chief of a tribe in ancient Vedic society?,A rajan.
What were the two tribal councils that restricted the autonomy of the rajan?,Sabha and samiti.
What was the main responsibility of the Rajan?,To protect the tribe.
Who performed ceremonies and spells for success in war and prosperity in peace?,The Purohita.
What did Purohita perform to ensure success in war and prosperity in peace?,Ceremonies and spells.
What type of rituals emerged during the later Vedic period to strengthen social hierarchy?,Śrauta rituals.
What was the king occasionally referred to during this era?,Supreme ruler (samrat)
Was there an organized system of taxation by the end of the later Vedic age?,No
During which period did the Kuru Kingdom exist?,The Middle Vedic Period.
What is the highest title used by the Kuru kings in the Vedic context?,"""Rājan"" (meaning ""chief"")."
What is Romila Thapar's characterization of Vedic-era state formation?,"""Arrested development"""
Why was surplus wealth not directed towards state-building in the Vedic era?,Instead it was used for grandiose rituals that structured social relations
What was the period contemporaneous with the Upanishads?,The final phase of the Vedic era.
What came to an end after the Upanishads?,The Vedic Period.
What type of settlement pattern existed in the Ganges Valley from 1000 to 600 BCE?,A two-tiered settlement pattern.
What were some references to in the Rigveda that indicated economy in the Vedic period?,"The levelling of fields, seed processing, and storage of grains in large jars."
What was a common method of economic exchange in ancient India?,Barter using cattle as a unit of currency.
What metal or instrument is mentioned as being used for purification in one verse from the Rigveda?,Ayas.
"What material is referred to as ""ayas"" in the Rigveda?",Copper and bronze.
When did the use of iron implements start increasing in Vedic society?,During the Late Vedic Period.
What types of crops were cultivated during this time?,"Wheat, rice, and barley."
"Which metals apart from copper, bronze, and gold were mentioned in later Vedic texts?","Tin, lead, and silver."
What professions are mentioned in the hymns of the Rigveda?,"Warriors, priests, cattle-rearers, farmers, hunters, barbers, vintners and crafts."
"According to Book X of the Rigveda, how many oceans are referred to?",Both eastern and western oceans.
What type of activities did slaves typically work in during the Vedic period?,Households rather than production-related activities.
"What does the term ""Śruti"" mean in the context of the Vedas?","""What is heard""."
What was an essential element in Yajna?,The sacrificial fire—the divine Agni.
What did people pray for during Yajna?,"Abundance of rain, cattle, sons, long life and gaining 'heaven'"
What was one of the main deities in the Vedic pantheon?,Indra
Which river was considered a goddess in the Vedic tradition?,Saraswati
Who took the role of messenger between humans and a deity in ancient Indian culture?,Agni (the sacrificial fire)
What is the principle that regulates and coordinates the operation of the universe according to the Vedas?,Ṛta
"What formed one of the main constituents of the ""Hindu synthesis"" around the beginning of the Common Era?",The Vedic tradition.
"What is seen as immanent and transcendent in the forms of Ishvara and Brahman, according to ascetic and devotional traditions like Yoga and Vedanta?",God (Brahman).
When did the period coincide with the Indo-Aryan migration?,The Vedic period.
What is suggested about early Vedic religion in terms of its representations?,Elaborate sacrifices that did not lend themselves easily to anthropomorphological representations.
When were the Ochre Coloured Pottery culture first found?,Between 1950 and 1951.
In which area was the Painted Grey Ware culture found?,"A wide area, including the area of Mathura."
When was this culture thought to be prominent?,During the latter half of the 2nd millennium.
Where was most of this pottery found?,"In the Muzaffarnagar, Meerut, and Bulandshahr districts."
What is the characteristic of ochre coloured pottery?,It seems to occur earlier in areas such as Rajasthan than in the doab.
How many stages does the Gandhara grave culture thought to occur in?,3
What is a common feature of the graves in this culture?,The skeletons are found facing southwest to northeast.
How many pieces of pottery is typically buried with each skeleton?,About 5 or less.
What is the name of the culture described in the historical text?,Black and red ware culture
What color is typically the inside surface of pottery from this culture?,Black
When did Black and red ware culture begin its spread?,During the Neolithic period.
Where was Painted grey ware culture linked to a group of people who settled?,"In Sutlej, Ghagger, and the Upper Ganga/Yamuna Valleys."
What was a common color of the grey-ware pottery?,Ash-grey
What were the three different forms of grey-ware pottery primarily used for?,Drinking ware
What percentage of found Vedic pottery was grey ware?,10-15%
"When did the start of Vaivasvata Manu's reign take place, according to some Puranic chronology accounts?",7350 BCE
When did the Kurukshetra War take place?,ca. 1000 BCE
In which chronology is the Kurukshetra War dated?,c. 3100 BCE
What is the name of the historical period mentioned in this text?,Mahajanapadas
Is there any information provided about what Mahajanapadas refers to in the given text?,No
What was the approximate time frame during which the Mahājanapadas existed?,The sixth to fourth centuries BCE.
What types of governments were found among the Mahājanapadas?,Aristocratic republics (gaṇasaṅghas) and forms of monarchy.
What was the term that referred to the foothold of a people?,Janapada
Which archaeological culture did this period correspond to in part?,Northern Black Polished Ware
When did the process of settlement on land complete its final stage?,Prior to the times of the Buddha and Pāṇini.
What did each Janapada in northern Indian sub-continent get its name from?,The Kshatriya people.
How many Mahajanapadas does the Digha Nikaya mention?,Twelve
What is the origin of the Bhagvati list?,It is of later origin.
Who annexed Anga in ancient India?,Magadha under Bimbisara.
Where was the capital of the Assaka tribe located in present-day Telangana?,Bodhan
"In which district is Nandura, corresponding to Potali, located in present-day Maharashtra?",Buldhana
Where were Assaka placed in ancient texts?,In the Markendeya Purana and the Brhat Samhita.
What river separated the country of the Assakas from that of the Mulakas (or Alakas)?,The Godavari.
What was the capital of Southern Avanti initially?,Mahishamati (Mahissati)
Which city served as the capital of integrated Avanti during the times of Mahavira and Buddha?,Ujjaini
Where did the capital city Suktimati of Chedi lie?,The location of Suktimati has not been established with certainty.
Which river was an extension of the southern frontiers of Chedi in the medieval period?,The Narmada river.
Where did E. Pargiter believe Suktimati to be located?,"In the vicinity of Banda, Uttar Pradesh."
"Who proposed identifying Suktimati as the ruins of a large early historical city at Itaha in Rewa, Madhya Pradesh?",Archaeologist Dilip Kumar Chakrabarti.
Who was a famous king of the Rigvedic period from whom the princes of this country are said to have come?,Druhyu
What river watered the lands of Gandhara?,Indus
Who referred to Kaspapyros as a Gandharic city?,Hecataeus of Miletus
What was the later capital of Gandhara Mahajanapada?,Taksashila
Who was the contemporary of king Bimbisara of Magadha?,King Pukkusati or Pushkarasarin of Gandhara
Which region was often linked politically with Gandhara?,Kashmira
What regions were Gandhara often linked with politically?,Kashmira and Kamboja.
Where was the original Kamboja located in ancient times?,Eastern Oxus country as a neighbor to Bahlika.
Where was the capital of the Kamboja country?,Rajapura (modern Rajori)
What did a large section of the Kambojas of cis-Hindukush appear to have come under?,Indian cultural influence
What type of people were the Kambojas known to be?,Republican
"Who refers to several ""gaṇaḥ"" or Republics of the Kambojas in an ancient text?",The Mahabharata
What century BCE did the growing state of Magadha emerge as a predominant power in ancient India?,6th/5th century BCE
"Which Magadhan emperor was said to have exterminated all Kshatriyas, leaving none worthy of the name Kshatriya?",Mahapadma Nanda
When did the Nandas usurp the throne of Shishunaga dynasty?,c. 345 BCE
Who destroyed the famous Kamboja city called Kapisi (modern Begram) in Paropamisade?,Cyrus II
What was the most powerful of the sixteen Mahajanapadas before Buddha?,Kasi
Who incorporated Kashi into Kosala during Buddha's time?,King Kansa
What was the capital of the country Kosala?,Ayodhya
Who was the highly educated king that ruled the kingdom of Kosala during the era of Mahavira and Buddha?,Prasenajit
Who was the ruler of Kosala when it was merged into Magadha?,Vidudabha
"According to the Buddhist text Sumangavilasini, where did the people of Kururashtra (the Kurus) come from?",The Uttarakuru
Who was the eponymous ancestor of the Kurus?,"Kuru, son of Samvarsana of the Puru lineage."
What was the capital of the Kurus according to the Jatakas?,Indraprastha (Indapatta) near modern Delhi.
Who did the Kurus have matrimonial relations with?,"The Yadavas, the Bhojas, Trigratas, and the Panchalas."
Where was the kingdom of Magadha roughly located?,In southern Bihar and parts of Bengal in the east.
What river was to the north of Pataliputra?,The Ganges.
Where was the First Buddhist Council held?,In Rajagaha.
Where did Bhimasena conquer the chief of the Mallakas during his expedition?,Eastern India
Which city was an important capital for one of the confederations of the Mallakas Kshatriya?,Kushinagar
Where did Lord Buddha take his last meal?,Pava
Where is it believed that Lord Gautam died?,The courtyard of King Sastipal Mall of Kushinagar
Where did the capital of the Matsya tribe lie?,At Viratanagara (modern Bairat)
What was the name of the founder king of the city Viratanagara?,King Virata
Where was the western Matsya hill tract located?,On the north bank of the Chambal.
What were the capitals of northern and southern Panchala respectively?,Adhichhatra or Chhatravati (modern Ramnagar in the Bareilly district) and Kampilya or Kampil.
Where was Kanyakubja or Kanauj situated?,In the kingdom of Panchala.
Who was Avantiputra to Buddha?,His first chief disciple.
Who is described as the sangha-mukhya in Kautiliya's Arthashastra?,Vasudeva (Krishna)
What was the area ruled by the Vajji confederacy located in?,Mithila in Nepal and northern Bihar
What type of government did the Vajji state have?,A republic.
Where was the capital of the Vatsa or Vamsa country located?,Kausambi.
Who was the ruler of Vatsa in the 6th-5th century BCE?,Udayana
What was made the state religion by King Udayana?,Buddhism
Who is the subject of this historical text?,Ashoka
When did Ashoka become Emperor of Magadha?,c. 268 BCE
What was the location of Ashoka's capital?,Pataliputra
When did Ashoka conquer Kalinga?,260 BCE)
What script was deciphered in the 19th century to reveal Ashoka's existence as a historical emperor?,Brahmi script)
What is the centre of the National Flag of India?,The Ashoka Chakra.
What type of sources provide information about Ashoka's reign?,"Inscriptions, other inscriptions that mention him or are possibly from his reign, and ancient literature."
What type of messages should Ashoka's inscriptions be viewed as?,Propaganda by a politician.
Where does Ashoka find a mention in the historical text?,In the 2nd century Junagadh rock inscription.
What is the primary source of information about Ashoka's life?,Buddhist legends
Who composed texts that present stories about Ashoka's life?,Buddhist authors
In which language does the Buddhist legend of Ashoka exist?,Sanskrit
Which son of Ashoka was sent to Sri Lanka according to the Sri Lankan tradition?,Mahinda
What happened to Ashoka's empress Tishyarakshita after she realized her mistake in destroying the Bodhi Tree?,She had the tree healed.
"Why did Ashoka fail to collect a relic of Gautama Buddha from Ramagrama, according to the Mahavamsa?",The Buddha had destined the relic to be enshrined by King Dutthagamani of Sri Lanka.
What does the Mahavamsa glorify Sri Lanka as?,The new preserve of Buddhism.
Which text provides general information about the Maurya period that can be used to make inferences about Ashoka's reign?,Indica of Megasthenes.
What type of text is Rajatarangini?,A 12th-century text.
Who wrote the Major Pillar Edicts and the Major Rock Edicts?,King Piyadasi (also known as Devanampiya Piyadasi).
Who was the father of Piyadasi?,Chandragupta Maurya
Who does Ashoka mention explicitly in his Minor Rock Edicts?,The Buddha and the Sangha
"What does the name ""A-shoka"" literally mean?",Without sorrow.
In which century CE is the name Priyadasi associated with Ashoka in the Dipavamsa?,3rd-4th.
"What is the meaning of ""Priyadasi""?","He who regards amiably, or of gracious mien."
Which title was used by Ashoka in his inscriptions?,Devanampiya.
When did Ashoka ascend the throne?,Around 269-268 BCE.
In what century did Ashoka live?,The 3rd century BCE.
Who was named by the Puranas and the Mahavamsa as Ashoka's father?,Bindusara
"According to the Ashokavadana, who is traced back as Ashoka's ancestor through his father?",Bimbisara
What was the mother of Ashoka prophesied to marry?,A king.
"Which text refers to Ashoka's mother as ""Dharma"" (""Dhamma"" in Pali)?",The Vamsatthapakasini or Mahavamsa-tika.
Who does the 2nd-century historian Appian say Chandragupta entered into a marital alliance with?,Seleucus I Nicator
Do Ashoka's own inscriptions describe his early life?,No
Who was reluctant to go to the Garden of the Golden Pavilion?,Ashoka
What did Radhagupta offer to provide to Ashoka for his travel to the Garden?,An imperial elephant
Who refused to name a successor to avoid annoying Bindusara?,The ascetic.
"What important responsibilities did Ashoka receive from Bindusara, according to legend?",Suppressing a revolt in Takshashila and governing Ujjain.
"According to the Ashokavadana, what did Bindusara dispatch Prince Ashoka to suppress?",a rebellion in the city of Takshashila
"Where was Gandhara located, according to the Ashoka-sutra and Kunala-sutra?",where Takshashila was located
What did Bindusara refuse to provide to Ashoka's army?,Weapons
Was Takshashila well-connected to the Mauryan capital Pataliputra by a trade route?,Yes
Does an Aramaic-language inscription discovered at Sirkap near Taxila mention the title of Ashoka?,Yes
Who appointed Ashoka as Viceroy of Avantirastra?,Bindusara
Where was the Saru Maru inscription discovered?,Central India
Where did Ashoka's entourage possibly encamp during his journey from Pataliputra to Ujjain?,Rupnath
Where did Devi give birth to Ashoka's son Mahinda?,Ujjain.
At what age was Mahinda ordained as a Buddhist monk?,20 years.
How old was Ashoka when he ascended the throne?,34 years
Who did the bald minister instigate to support Ashoka's claim to the throne?,Five hundred ministers
Who did Bindusara dispatch to curb a rebellion in Takshashila?,Susima
Who was initially asked by Bindusara to march to Takshashila?,Ashoka
Who died a painful death in a pit of charcoal?,Susima
"How many of Ashoka's half-brothers did he kill, according to the Mahavamsa text?",Ninety-nine
How many half-brothers did Ashoka kill according to some historical accounts?,Ninety-nine
"Who was spared by Ashoka in the massacre, according to some historical accounts?",Tissa
Who killed six legitimate princes to ascend the throne?,Ashoka
"According to Rock Edict No. 5, what duties do certain officers include supervising?","The welfare of ""the families of his brothers, sisters, and other relatives"""
When did Ashoka ascend the throne according to the Sri Lankan texts?,265 BCE
"How many years did Ashoka rule, according to the Sri Lankan texts?",37 years
When is the earliest possible date for Ashoka's ascension?,268 BCE
"According to the Ashokavadana, what did Yashas hide with his hand?",The sun
What is mentioned as a possible visit by Ashoka according to the Rummindei pillar inscription?,Lumbini
"When did Ashoka visit Lumbini, according to one interpretation of the text?",Around 1–2 years after a solar eclipse
What were Ashoka's initial names before his conversion to Buddhism?,Kamashoka and Chandashoka
"According to Faxian, what did Ashoka do to study torture methods?",He personally visited the underworld
What is the nickname for Ashoka mentioned in the Mahavamsa?,Chandashoka
"According to the Sri Lankan texts, what was one of the specific evil deeds performed by Ashoka?",Killing 99 of his brothers
What region did Ashoka conquer during his 8th regnal year?,The Kalinga region.
"According to Edict 13, when did Ashoka start showing remorse for the destruction of Kalinga?",Directly after the annexation.
When did Ashoka allegedly convert to Buddhism?,During his 4th regnal year.
"According to Sri Lankan tradition, how many viharas did Ashoka construct during certain years of his reign?","84,000"
Who waged the violent Kalinga War?,Ashoka
What is suggested by epigraphic evidence regarding Ashoka's conversion to Buddhism?,A gradual process rather than a dramatic event
How long had Ashoka been an upasaka (lay Buddhist) before his 13th regnal year?,More than two and a half years.
How many men and animals were carried away from Kalinga as captives during Ashoka's conquest of the region?,"150,000."
Where were the Rock Edicts inscribed?,"Erragudi, Girnar, Kalsi, Maneshra, Shahbazgarhi and Kandahar."
Why is Ashoka's remorse not mentioned in his inscriptions found in the Kalinga region?,Because it was considered politically inappropriate.
Were there any other military activities mentioned in ancient sources besides the Kalinga war?,No
"Which tradition states that Ashoka's father, Bindusara, was a devotee of Brahmanism?",Sri Lankan
What was Ashoka unhappy with?,The behaviour of the Brahmins who received his alms daily.
Why did Ashoka invite non-Buddhist religious leaders to his palace?,To answer a question posed by the king.
Who was Nigrodha's father?,Sumana
How many daily portions of rice did Ashoka offer to Nigrodha?,8
What year of Ashoka's reign is mentioned as the time when his son Mahinda became a Buddhist monk?,Sixth regnal year
Who is credited with converting Ashoka to Buddhism in the story attributed to Divyavadana?,Samudra
How old was Samudra when he met Ashoka?,12 years old
What happened to the Brahmanas who were harassing Ashoka for being interested in Buddhism?,They miraculously turned into Buddhist bhikkus
How many Buddhist establishments existed in India by the time of Ashoka's ascension?,Several
"According to the Mahavamsa, how many stupas or viharas did Ashoka construct during his reign?","84,000"
How many stupas was Ashoka ordered to have built throughout the earth?,"84,000"
What was the total number of stupas completed at once when Ashoka took action?,"84,000"
How many sections of the Buddha's Dharma did Moggaliputta Tissa tell Ashoka there were?,"84,000"
Who completed Ashokarama?,Thera Indagutta
What welfare activities did Ashoka perform during his eighth-ninth regnal years?,"Establishment of medical treatment facilities for humans and animals, plantation of medicinal herbs, digging of wells, and plantation of trees along the roads."
What was Ashoka's occupation during his tenth- eleventh regnal years?,He went on a tour of the empire that lasted for at least 256 days.
Who did Ashoka commission to preach dharma every five years?,His officers (rajjukas and pradesikas).
How many monks were de-robed as a result of the king's efforts to expel non-Buddhists from the monastery?,"60,000"
How many monks were de-frocked in the process?,"60,000"
During which regnal year of Ashoka did Tissa organise the Third Buddhist council?,The 17th
Who recommends studying certain texts to members of the Sangha?,Ashoka
Where were inscriptions found that express Ashoka's desire for the Sangha to remain united and flourish?,"Sanchi, Sarnath, and Kosam"
Who predicted that a king called Ashoka would unite the Buddhist schools?,The Buddha
What was the number of monks in each of Moggaliputta-Tissa's nine Buddhist missions sent to spread Buddhism?,Five
In which regnal year did Ashoka send Buddhist missionaries to Sri Lanka?,18th
Who went to Sri Lanka in Ashoka's 19th regnal year to establish an order of nuns?,Sanghamitta
What was one of the activities Ashoka donated during his 19th regnal year?,The Khalatika Cave to ascetics.
Where did Ashoka make a pilgrimage after the next year according to his Pillar Edicts?,Lumbini – the place of Buddha's birth.
"Who argues that the ""dhamma"" missionaries mentioned in Ashoka's inscriptions were probably not Buddhist monks?",Etienne Lamotte
Which scholars believe that the missions mentioned in the Sri Lankan tradition are historical?,Erich Frauwallner and Richard Gombrich
Where were relic caskets found that had inscriptions matching the names of five monks mentioned in the Vinaya Nidana?,Bhilsa (near Vidisha).
When were the relic caskets dated to?,Early 2nd century BCE.
Who may have decided not to mention non-Buddhists?,The Buddhist chroniclers
"According to some historians, what contributed to Buddhism becoming a major religion?",Ashoka's royal patronage
Who supported the spread of Buddhism in north-western India and Deccan region?,"Merchants, traders, landowners, and artisan guilds."
Whom did Ashoka reportedly bow down to according to the Buddhist legend Ashokavadana?,"The feet of Jnatiputra (Mahavira), a Jain leader."
How many followers of the Ajivika sect were executed as a result of Ashoka's order?,"18,000"
Who was mistaken for a Nirgrantha heretic and killed by a cowherd according to Ashokavadana?,Ashoka's own brother
Who was the only queen of Ashoka known from his own inscriptions?,Karuvaki
Where is Karuvaki mentioned in an inscription by Ashoka?,On a pillar at Allahabad
Who was Ashoka's chief empress?,Asandhimitta
"What did Asandhimitta give to a pratyekabuddha in his previous life, according to the Mahavamsa and some later texts?",A piece of cloth made by her
"Who was challenged by Ashoka to procure 60,000 robes as an offering for monks?",Asandhamitta
How many robes did Asandhamitta miraculously procure according to the text?,"60,000"
Who proved Asandhamitta's superiority to Ashoka's other wives?,Ashoka
How many stupas and viharas did Asandhamitta allegedly encourage her husband to construct?,"84,000"
"Who was Ashoka's chief empress, according to the Mahavmsa?",Asandhamitta
What is the term used by Sri Lankan tradition to describe the relationship between Ashoka and Devi?,samvasa
Who were the children of Ashoka and Devi?,Mahinda and Sanghamitta.
Which of Ashoka's sons was sent to Sri Lanka as a Buddhist missionary?,Mahinda.
Who according to Xuanzang was Mahinda's relationship to Ashoka?,Younger brother (Vitashoka or Vigatashoka)
What is the name of one of Ashoka's daughters mentioned in Sri Lankan tradition?,Sanghamitta
Who was Ashoka's elder half-brother?,Susima
Which kingdoms controlled the southernmost parts of India during Ashoka's reign?,"The Cholas, Pandyas, Keralaputras, and Satiyaputras"
What was the capital of Ashoka's empire?,Pataliputra
What did Ashoka call himself in the Minor Rock Edict 1?,an upasaka (a lay follower of Buddhism)
What was the prediction made by an Ajivika ascetic about Ashoka's mother?,That he would patronise Buddhism and destroy 96 heretical sects.
"According to Ashoka's own inscriptions, what does he emphasize in his Rock Edicts?",Tolerance of all sects.
What is recorded by Ashoka's Queen Karuvaki?,Her donations to the Buddhists.
"Who did Ashoka exempt from the land tax, according to the Lumbini inscription?",The village of Buddha's birth.
What were some of the religious sects that Ashoka appointed officers to care for?,"Buddhist sangha, Brahmins, Ajivikas, and Nirgranthas."
"According to one interpretation, what does the phrase ""amissā devā"" refer to in Ashoka's Minor Rock Edict 1?",True and false gods.
What was Ashoka devoted to propagating?,Dharma (also referred to as Dhamma)
Does the historical text mention Buddhist doctrines such as the Four Noble Truths or Nirvana in connection with Ashoka's inscriptions?,No
"What has been translated as ""Dharma"" in the Kandahar inscriptions of Ashoka?",eusebeia (Greek) and qsyt (Aramaic)
"According to the inscriptions, what did Ashoka's ""Dharma"" mean?","a moral polity of active social concern, religious tolerance, ecological awareness, the observance of common ethical precepts, and the renunciation of war."
What category of officers did Ashoka institute?,Dhamma-mahamattas
"Who studied the Brahmi script in the 19th century, making it possible to decipher its meaning?",James Prinsep
Who likely relied on local guides for interpreting Ashoka's inscriptions?,Faxian
What script was deciphered by modern scholars to determine the actual text of Ashoka's inscriptions?,Brahmi script
Who is mentioned in the historical text as a king who had Ashoka pillars transported from Topra and Mirat to Delhi?,Firuz Shah Tughlaq
"According to scholars such as Richard Gombrich, what shows Buddhist influence in the historical text?",Ashoka's dharma
What did Ashoka's rock edicts declare was not good?,Injuring living things.
Which animal species were specifically banned from being killed under Ashoka's rule?,"Several birds, certain types of fish, bulls, female goats, sheep, pigs nursing their young or their young up to the age of six months."
What was banned during certain periods under Ashoka's rule?,Killing of all fish and castration of animals
What did Ashoka do to eliminate meat eating on many holidays?,He created many veterinary clinics
What did Ashoka send to various people?,Dütas or emissaries
"What was the purpose of Ashoka's messages, according to the XIIIth Rock Edict?",To spread his dhammavijaya
Who did Ashoka encourage the transmission of Buddhism to?,The Hellenistic kingdoms to the west.
What does Ashoka consider to be the best conquest?,Conquest by Dhamma.
Who rules beyond the borders where the conquest by Dhamma has been won?,"Antiochos, a Greek king."
"What practice is being followed by people in various places, including among the Greeks and other groups mentioned in the text?",The practice of Dhamma.
Who sent an ambassador to the court of Ashoka?,Ptolemy II Philadelphus
Which Hellenistic philosopher is said to have been influenced by Buddhist teachings?,Hegesias of Cyrene
What was the role of some Greek Buddhist monks in spreading Buddhism?,They were active in spreading Buddhism.
Which palace is thought to have been modelled after by Ashoka's palace at Patna?,The Achaemenid palace of Persepolis.
What did Ashoka generously donate to the sick pratyekabuddha in his previous life?,Honey
Who was reborn as Ashoka's wife Asandhamitta in a later life?,The woman
"Where was Jaya, later known as Ashoka, born?",In a prominent family of Rajagriha.
"What did Jaya give to Gautama Buddha, thinking it was food?",Dirt.
What is the name of the Chinese writer whose text asserts that Ashoka's greatness was not caused by gifting dirt?,Pao Ch'eng
In which century is it possible that the Dasavatthuppakarana fairy tale originated?,14th
In what century does the historical text mention a story combining the merchant's gift of honey and the boy's gift of dirt?,14th century
What is the purpose for which the Buddha gives the dirt gifted by the boy to Ānanda in the Buddhist legend?,To create plaster to repair cracks in the monastery walls.
What was the name of Ashoka's empress who died in his 29th regnal year?,Asandhamitta
In what regnal year did Tissarakkha completely destroy the Bodhi Tree according to the Mahavamsa tradition?,34th
Who made sexual advances towards Ashoka's son Kunala?,Tissarakkha
When did Ashoka die?,Around 232 BCE.
What was the only possession that Ashoka had on his deathbed?,The half of a myrobalan fruit.
"How long did Ashoka's body burn during his cremation, according to legend?",Seven days and nights.
What was the likely material used for building structures before Ashoka's time in India?,"Non-permanent materials such as wood, bamboo or thatch."
What is the name of the capital that features a carving of a spoked wheel?,The Ashoka Chakra.
How many inscriptions were issued by Ashoka during his reign?,33.
What were the materials used for royal communications before Ashoka?,"Palm leaves, birch barks, cotton cloth, and possibly wooden boards."
What was done with Ashoka's messages in addition to using perishable materials?,They were inscribed on rock edicts.
Where did Ashoka probably get the idea of putting up inscriptions?,The Achaemenid empire.
"What kind of materials do scholars believe were used to send messages from Ashoka's government to various parts of the empire, in addition to rocks?",Wood.
In which script are most of Ashoka's inscriptions written?,The Brahmi script.
Where were some of Ashoka's inscriptions set up?,"Near towns, on important routes, and at places of religious significance."
Where were Ashoka's inscriptions not found?,At major cities of the Maurya empire.
What did Ashoka dispatch to his provincial governors?,Every message.
How many days did Ashoka spend on tour?,256
Where were three versions of a message sent from?,Suvarnagiri
What was the symbol on the punch-marked coins of the Maurya Empire in India?,The caduceus.
Who contributed to the revelation of historical sources about Ashoka?,James Prinsep.
Who discovered an important Sri Lankan manuscript associating Piyadasi with Ashoka?,George Turnour
"What was the regnal title of Ashoka, directly associated with him through the Minor Rock Edict inscription?",Devanampriya
When did the author first become a Buddha-Sakya?,Two and a half years ago.
Who was another important historian mentioned in this text?,John Hubert Marshall.
Who is often known as the father of the Archaeological Survey of India?,Sir Alexander Cunningham
"Which British archaeologist exposed Ashokan historical sources, especially Taxila?",Mortimer Wheeler
What is the primary view among early scholars about Ashoka's religion?,Buddhism
Do the Ashokan Edicts explicitly state that Ashoka was a Buddhist?,No
What is the main theme of Ashoka's edicts?,Moral themes
Which religion does the text suggest Ashoka was likely associated with?,Buddhism
Did Ashoka's edicts show his guidance coming from the Vedic tradition?,No
"What was the meaning of the word ""dhamma"" in Ashoka's context?",Qualities of the heart that underlie moral action
What was the primary purpose of Ashoka's Dhamma?,To influence the conduct of categories of people in relation to each other.
How is Ashoka typically portrayed in his inscriptions?,As compassionate and loving.
What does Ashoka's inscription present him as?,Compassionate and loving.
